mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.72,"10 km WNW of Cobb, CA",1732748411590,1732748509822,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091866&format=geojson,,,,,automatic,0,8,nc,75091866,",nc75091866,",",nc,",",nearby-cities,origin,phase-data,",12.0,0.007268,0.01,124.0,md,earthquake,"M 0.7 - 10 km WNW of Cobb, CA"
0.77,"3 km WSW of Anderson Springs, CA",1732748255540,1732751238045,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091856,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091856&format=geojson,,,,,automatic,0,9,nc,75091856,",nc75091856,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.004142,0.01,231.0,md,earthquake,"M 0.8 - 3 km WSW of Anderson Springs, CA"
0.73,"10 km NNW of The Geysers, CA",1732748233880,1732750634963,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091851,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091851&format=geojson,,,,,automatic,0,8,nc,75091851,",nc75091851,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01818,0.03,86.0,md,earthquake,"M 0.7 - 10 km NNW of The Geysers, CA"
1.54,"10 km WNW of Cobb, CA",1732748184580,1732750167908,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091846,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091846&format=geojson,,,,,automatic,0,36,nc,75091846,",nc75091846,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.01943,0.06,89.0,md,earthquake,"M 1.5 - 10 km WNW of Cobb, CA"
-0.66,"25 km W of Sitka, Alaska",1732747550700,1732781504990,,https://earthquake.usgs.gov/earthquakes/eventpage/av93027569,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93027569&format=geojson,,,,,reviewed,0,0,av,93027569,",av93027569,",",av,",",origin,phase-data,",4.0,0.01772,0.12,114.0,ml,earthquake,"M -0.7 - 25 km W of Sitka, Alaska"
2.2,"7 km SSE of Ferry, Alaska",1732747508419,1732749788296,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9fsf3x,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9fsf3x&format=geojson,2.0,3.4,,,automatic,0,75,ak,024f9fsf3x,",ak024f9fsf3x,",",ak,",",dyfi,origin,phase-data,",,,0.71,,ml,earthquake,"M 2.2 - 7 km SSE of Ferry, Alaska"
0.37,"24 km W of Sitka, Alaska",1732747497770,1732781264750,,https://earthquake.usgs.gov/earthquakes/eventpage/av93027564,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93027564&format=geojson,,,,,reviewed,0,2,av,93027564,",av93027564,",",av,",",origin,phase-data,",4.0,0.0131,0.11,172.0,ml,earthquake,"M 0.4 - 24 km W of Sitka, Alaska"
-0.55,"26 km W of Sitka, Alaska",1732747458240,1732781112930,,https://earthquake.usgs.gov/earthquakes/eventpage/av93027559,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93027559&format=geojson,,,,,reviewed,0,0,av,93027559,",av93027559,",",av,",",origin,phase-data,",4.0,0.0131,0.13,114.0,ml,earthquake,"M -0.6 - 26 km W of Sitka, Alaska"
0.61,"10 km WNW of Cobb, CA",1732747422070,1732748968767,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091836,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091836&format=geojson,,,,,automatic,0,6,nc,75091836,",nc75091836,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.006302,0.01,91.0,md,earthquake,"M 0.6 - 10 km WNW of Cobb, CA"
-0.17,"87 km NNW of Karluk, Alaska",1732746970440,1732779360000,,https://earthquake.usgs.gov/earthquakes/eventpage/av93381633,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93381633&format=geojson,,,,,reviewed,0,0,av,93381633,",av93381633,",",av,",",origin,phase-data,",6.0,0.04251,0.11,143.0,ml,earthquake,"M -0.2 - 87 km NNW of Karluk, Alaska"
1.29,"4 km NNE of Lake Henshaw, CA",1732746887410,1732819828770,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40989072,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40989072&format=geojson,,,,,reviewed,0,26,ci,40989072,",ci40989072,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",53.0,0.04024,0.19,23.0,ml,earthquake,"M 1.3 - 4 km NNE of Lake Henshaw, CA"
1.1,"14 km NNE of Four Mile Road, Alaska",1732746313850,1732746435999,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9fo589,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9fo589&format=geojson,,,,,automatic,0,19,ak,024f9fo589,",ak024f9fo589,",",ak,",",origin,phase-data,",,,0.93,,ml,earthquake,"M 1.1 - 14 km NNE of Four Mile Road, Alaska"
1.46,"3 km SSW of Highland Park, CA",1732746282050,1732746519974,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40989064,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40989064&format=geojson,,,,,automatic,0,33,ci,40989064,",ci40989064,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.06813,0.09,132.0,ml,earthquake,"M 1.5 - 3 km SSW of Highland Park, CA"
1.7,"58 km S of Whites City, New Mexico",1732746051591,1732785657957,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024xilt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024xilt&format=geojson,,,,,reviewed,0,44,tx,2024xilt,",tx2024xilt,",",tx,",",origin,phase-data,",17.0,0.1,0.2,59.0,ml,earthquake,"M 1.7 - 58 km S of Whites City, New Mexico"
2.1,"58 km S of Whites City, New Mexico",1732745933576,1732787211187,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024xilr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024xilr&format=geojson,,,,,reviewed,0,68,tx,2024xilr,",tx2024xilr,",",tx,",",origin,phase-data,",15.0,0.0,0.2,58.0,ml,earthquake,"M 2.1 - 58 km S of Whites City, New Mexico"
1.32,"37 km S of Silver Gate, Montana",1732745890100,1732748396350,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80087366,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80087366&format=geojson,,,,,reviewed,0,27,uu,80087366,",uu80087366,",",uu,",",origin,phase-data,",10.0,0.1219,0.14,136.0,md,earthquake,"M 1.3 - 37 km S of Silver Gate, Montana"
5.8,"123 km E of Hicks Bay, New Zealand",1732745036567,1732831706101,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nula,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nula&format=geojson,6.0,7.0,3.031,green,reviewed,0,522,us,7000nula,",us7000nula,usauto7000nula,pt24332001,",",us,usauto,pt,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",131.0,1.111,1.22,51.0,mww,earthquake,"M 5.8 - 123 km E of Hicks Bay, New Zealand"
0.02,"25 km W of Sitka, Alaska",1732744728630,1732778736970,,https://earthquake.usgs.gov/earthquakes/eventpage/av93027554,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93027554&format=geojson,,,,,reviewed,0,0,av,93027554,",av93027554,",",av,",",origin,phase-data,",4.0,0.01514,0.13,152.0,ml,earthquake,"M 0.0 - 25 km W of Sitka, Alaska"
5.7,"0 km SSE of Batitang, Philippines",1732744725213,1732831356741,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nul8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nul8&format=geojson,4.0,3.6,3.518,green,reviewed,0,501,us,7000nul8,",us7000nul8,usauto7000nul8,at00snmqe1,pt24332000,",",us,usauto,at,pt,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",127.0,7.387,0.89,32.0,mww,earthquake,"M 5.7 - 0 km SSE of Batitang, Philippines"
-0.56,"24 km W of Sitka, Alaska",1732744672030,1732778239640,,https://earthquake.usgs.gov/earthquakes/eventpage/av93027549,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93027549&format=geojson,,,,,reviewed,0,0,av,93027549,",av93027549,",",av,",",origin,phase-data,",4.0,0.012,0.11,146.0,ml,earthquake,"M -0.6 - 24 km W of Sitka, Alaska"
2.28999996,"1 km S of Pāhala, Hawaii",1732744431590,1732744548840,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74544072,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74544072&format=geojson,,,,,automatic,0,81,hv,74544072,",hv74544072,",",hv,",",origin,phase-data,",47.0,0.03737,0.129999995,79.0,md,earthquake,"M 2.3 - 1 km S of Pāhala, Hawaii"
1.62,"17 km NW of Pinnacles, CA",1732744137760,1732757069728,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091801,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091801&format=geojson,,,,,automatic,0,40,nc,75091801,",nc75091801,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.03519,0.16,76.0,md,earthquake,"M 1.6 - 17 km NW of Pinnacles, CA"
0.64,"14 km E of Anza, CA",1732744137650,1732745500409,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40989040,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40989040&format=geojson,,,,,reviewed,0,6,ci,40989040,",ci40989040,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.07505,0.13,110.0,ml,earthquake,"M 0.6 - 14 km E of Anza, CA"
1.5,"43 km NW of Toyah, Texas",1732743920712,1732792056642,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024xiko,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024xiko&format=geojson,,,,,reviewed,0,35,tx,2024xiko,",tx2024xiko,",",tx,",",origin,phase-data,",15.0,0.0,0.3,79.0,ml,earthquake,"M 1.5 - 43 km NW of Toyah, Texas"
1.19,"13 km NNW of Piru, CA",1732742474190,1732744562200,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40989024,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40989024&format=geojson,,,,,reviewed,0,22,ci,40989024,",ci40989024,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",31.0,0.06893,0.25,42.0,ml,earthquake,"M 1.2 - 13 km NNW of Piru, CA"
1.2,"59 km SE of Cantwell, Alaska",1732742416503,1732742525929,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9f1n8y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9f1n8y&format=geojson,,,,,automatic,0,22,ak,024f9f1n8y,",ak024f9f1n8y,",",ak,",",origin,phase-data,",,,1.03,,ml,earthquake,"M 1.2 - 59 km SE of Cantwell, Alaska"
2.13000011,"4 km S of Honaunau-Napoopoo, Hawaii",1732741476070,1732741597650,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74544022,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74544022&format=geojson,,,,,automatic,0,70,hv,74544022,",hv74544022,",",hv,",",origin,phase-data,",23.0,0.153,0.209999993,219.0,md,earthquake,"M 2.1 - 4 km S of Honaunau-Napoopoo, Hawaii"
3.6,"82 km S of Sand Point, Alaska",1732740949902,1732757638165,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9ensij,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9ensij&format=geojson,,,1.83,,reviewed,0,199,ak,024f9ensij,",ak024f9ensij,",",ak,",",origin,phase-data,shakemap,",,,0.76,,ml,earthquake,"M 3.6 - 82 km S of Sand Point, Alaska"
1.19,"9 km E of Ridgecrest, CA",1732740606280,1732741028015,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40989000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40989000&format=geojson,,,,,reviewed,0,22,ci,40989000,",ci40989000,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.06898,0.14,67.0,ml,earthquake,"M 1.2 - 9 km E of Ridgecrest, CA"
0.98,"25 km SW of Maricopa, CA",1732740433110,1732741618392,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40989008,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40989008&format=geojson,,,,,reviewed,0,15,ci,40989008,",ci40989008,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.05794,0.18,95.0,ml,earthquake,"M 1.0 - 25 km SW of Maricopa, CA"
-0.35,"74 km SSW of Pilot Point, Alaska",1732740276070,1732777939100,,https://earthquake.usgs.gov/earthquakes/eventpage/av93027544,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93027544&format=geojson,,,,,reviewed,0,0,av,93027544,",av93027544,",",av,",",origin,phase-data,",4.0,0.0271,0.22,273.0,ml,earthquake,"M -0.4 - 74 km SSW of Pilot Point, Alaska"
1.2,"51 km S of Denali National Park, Alaska",1732739803153,1732739936781,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9ejp5n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9ejp5n&format=geojson,,,,,automatic,0,22,ak,024f9ejp5n,",ak024f9ejp5n,",",ak,",",origin,phase-data,",,,1.02,,ml,earthquake,"M 1.2 - 51 km S of Denali National Park, Alaska"
5.1,"109 km SSW of Tsengel, Mongolia",1732739680723,1732740751040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nuku,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nuku&format=geojson,,,,,reviewed,0,400,us,7000nuku,",us7000nuku,",",us,",",origin,phase-data,",49.0,4.279,0.74,41.0,mb,earthquake,"M 5.1 - 109 km SSW of Tsengel, Mongolia"
4.5,"126 km WNW of Tumxuk, China",1732739500876,1732788338898,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nuks,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nuks&format=geojson,1.0,2.0,,,reviewed,0,312,us,7000nuks,",us7000nuks,",",us,",",dyfi,moment-tensor,origin,phase-data,",91.0,1.735,0.94,109.0,mwr,earthquake,"M 4.5 - 126 km WNW of Tumxuk, China"
1.44,"5 km WNW of San Juan Bautista, CA",1732738744630,1732748967767,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091776,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091776&format=geojson,,,,,automatic,0,32,nc,75091776,",nc75091776,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.05554,0.1,91.0,md,earthquake,"M 1.4 - 5 km WNW of San Juan Bautista, CA"
-0.02,"23 km W of Sitka, Alaska",1732738548050,1732777229810,,https://earthquake.usgs.gov/earthquakes/eventpage/av93381523,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93381523&format=geojson,,,,,reviewed,0,0,av,93381523,",av93381523,",",av,",",origin,phase-data,",4.0,0.00698,0.12,146.0,ml,earthquake,"M 0.0 - 23 km W of Sitka, Alaska"
1.5,"30 km WNW of Cantwell, Alaska",1732738419309,1732739047222,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9eere2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9eere2&format=geojson,,,,,automatic,0,35,ak,024f9eere2,",ak024f9eere2,",",ak,",",origin,phase-data,",,,0.63,,ml,earthquake,"M 1.5 - 30 km WNW of Cantwell, Alaska"
3.36,"83 km N of Cruz Bay, U.S. Virgin Islands",1732738398190,1732739457270,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71467018,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71467018&format=geojson,,,,,reviewed,0,174,pr,71467018,",pr71467018,",",pr,",",origin,phase-data,",14.0,0.6822,0.28,276.0,md,earthquake,"M 3.4 - 83 km N of Cruz Bay, U.S. Virgin Islands"
0.12,"68 km WNW of Beluga, Alaska",1732738278270,1732776707380,,https://earthquake.usgs.gov/earthquakes/eventpage/av93381508,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93381508&format=geojson,,,,,reviewed,0,0,av,93381508,",av93381508,",",av,",",origin,phase-data,",9.0,0.07551,0.12,128.0,ml,earthquake,"M 0.1 - 68 km WNW of Beluga, Alaska"
2.8,"111 km S of Chuathbaluk, Alaska",1732737929415,1732814996040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9ed0wd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9ed0wd&format=geojson,,,,,automatic,0,121,ak,024f9ed0wd,",us7000nukm,ak024f9ed0wd,",",us,ak,",",origin,phase-data,",,,0.87,,ml,earthquake,"M 2.8 - 111 km S of Chuathbaluk, Alaska"
1.81,"4 km SSE of Home Gardens, CA",1732737905720,1732739289260,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40988960,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40988960&format=geojson,,,,,reviewed,0,50,ci,40988960,",ci40988960,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",68.0,0.05471,0.21,42.0,ml,quarry blast,"M 1.8 Quarry Blast - 4 km SSE of Home Gardens, CA"
1.5,"16 km NNE of Apple Valley, CA",1732737835230,1732775361725,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40988952,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40988952&format=geojson,1.0,1.0,,,reviewed,0,35,ci,40988952,",ci40988952,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",31.0,0.1871,0.17,34.0,ml,quarry blast,"M 1.5 Quarry Blast - 16 km NNE of Apple Valley, CA"
0.22,"68 km WNW of Beluga, Alaska",1732737085380,1732776069250,,https://earthquake.usgs.gov/earthquakes/eventpage/av93381478,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93381478&format=geojson,,,,,reviewed,0,1,av,93381478,",av93381478,",",av,",",origin,phase-data,",9.0,0.07785,0.08,129.0,ml,earthquake,"M 0.2 - 68 km WNW of Beluga, Alaska"
0.3,"45 km W of Kalifornsky, Alaska",1732737064515,1732737203471,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9e1fwz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9e1fwz&format=geojson,,,,,automatic,0,1,ak,024f9e1fwz,",ak024f9e1fwz,",",ak,",",origin,phase-data,",,,0.49,,ml,earthquake,"M 0.3 - 45 km W of Kalifornsky, Alaska"
1.21,"9 km E of Alum Rock, CA",1732735916480,1732745368344,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091766,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091766&format=geojson,,,,,automatic,0,23,nc,75091766,",nc75091766,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.07631,0.04,120.0,md,earthquake,"M 1.2 - 9 km E of Alum Rock, CA"
1.16,"13 km SE of Olancha, CA",1732735818010,1732736824104,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40988912,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40988912&format=geojson,,,,,reviewed,0,21,ci,40988912,",ci40988912,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.09128,0.15,64.0,ml,earthquake,"M 1.2 - 13 km SE of Olancha, CA"
1.6,"23 km WSW of Anchorage, Alaska",1732735435110,1732751961154,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9dvi5z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9dvi5z&format=geojson,1.0,2.0,,,automatic,0,40,ak,024f9dvi5z,",ak024f9dvi5z,",",ak,",",dyfi,origin,phase-data,",,,0.58,,ml,earthquake,"M 1.6 - 23 km WSW of Anchorage, Alaska"
-0.1,"62 km NE of Nikolski, Alaska",1732735335940,1732776291390,,https://earthquake.usgs.gov/earthquakes/eventpage/av93027534,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93027534&format=geojson,,,,,reviewed,0,0,av,93027534,",av93027534,",",av,",",origin,phase-data,",4.0,0.05108,0.2,298.0,ml,earthquake,"M -0.1 - 62 km NE of Nikolski, Alaska"
1.88,"1 km SW of Pāhala, Hawaii",1732735279120,1732735368490,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74543842,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74543842&format=geojson,,,,,automatic,0,54,hv,74543842,",hv74543842,",",hv,",",origin,phase-data,",27.0,0.04765,0.209999993,115.0,md,earthquake,"M 1.9 - 1 km SW of Pāhala, Hawaii"
1.72,"4 km S of Highland Park, CA",1732735141330,1732737912050,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40988888,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40988888&format=geojson,,,,,reviewed,0,46,ci,40988888,",ci40988888,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",63.0,0.01898,0.18,30.0,ml,earthquake,"M 1.7 - 4 km S of Highland Park, CA"
-0.65,"84 km W of Salamatof, Alaska",1732734546390,1732775616930,,https://earthquake.usgs.gov/earthquakes/eventpage/av93381433,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93381433&format=geojson,,,,,reviewed,0,0,av,93381433,",av93381433,",",av,",",origin,phase-data,",8.0,0.0575,0.06,263.0,ml,earthquake,"M -0.7 - 84 km W of Salamatof, Alaska"
1.70000005,"6 km S of Volcano, Hawaii",1732734423640,1732734506170,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74543822,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74543822&format=geojson,,,,,automatic,0,44,hv,74543822,",hv74543822,",",hv,",",origin,phase-data,",20.0,0.007518,0.170000002,72.0,md,earthquake,"M 1.7 - 6 km S of Volcano, Hawaii"
2.02,"22 km NE of Lima, Montana",1732734312070,1732747396460,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90067123,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90067123&format=geojson,,,,,reviewed,0,63,mb,90067123,",mb90067123,",",mb,",",origin,phase-data,",15.0,0.1826,0.17,66.0,ml,earthquake,"M 2.0 - 22 km NE of Lima, Montana"
2.32,"22 km NE of Lima, Montana",1732734283800,1732746568000,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90067103,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90067103&format=geojson,,,,,reviewed,0,83,mb,90067103,",mb90067103,",",mb,",",origin,phase-data,",36.0,0.1834,0.2,67.0,ml,earthquake,"M 2.3 - 22 km NE of Lima, Montana"
2.11,"3 km SSW of Pāhala, Hawaii",1732734197390,1732734370490,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74543817,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74543817&format=geojson,,,,,automatic,0,68,hv,74543817,",hv74543817,",",hv,",",origin,phase-data,",55.0,0.03879,0.129999995,83.0,ml,earthquake,"M 2.1 - 3 km SSW of Pāhala, Hawaii"
